TITLE,USER RATING,CRITCS RATING,YEAR,RT URL
All About the Benjamins,75,30,2002,http://www.rottentomatoes.com/m/all_about_the_benjamins/
Waiting,76,31,2005,http://www.rottentomatoes.com/m/waiting/
Stick It,76,31,2006,http://www.rottentomatoes.com/m/stick_it/
The Fast and the Furious: Tokyo Drift,80,35,2006,http://www.rottentomatoes.com/m/fast_and_the_furious_tokyo_drift/
Equilibrium,82,37,2002,http://www.rottentomatoes.com/m/equilibrium/
Fireproof,85,40,2008,http://www.rottentomatoes.com/m/10010214-fireproof/
Tarzan & Jane,44,0,2002,http://www.rottentomatoes.com/m/tarzan_and_jane/
American Ninja,44,0,1985,http://www.rottentomatoes.com/m/american_ninja/
Delta Force 2: The Colombian Connection,44,0,1990,http://www.rottentomatoes.com/m/delta_force_2/
Folks!,44,0,1992,http://www.rottentomatoes.com/m/folks/
Thief Of Hearts,44,0,1984,http://www.rottentomatoes.com/m/thief_of_hearts/
Solarbabies,44,0,1986,http://www.rottentomatoes.com/m/solarbabies/
88 Minutes,49,5,2007,http://www.rottentomatoes.com/m/88_minutes/
Senseless,50,6,1998,http://www.rottentomatoes.com/m/1081501-senseless/
Date Movie,51,7,2006,http://www.rottentomatoes.com/m/1155470-date_movie/
The Reaping,52,8,2007,http://www.rottentomatoes.com/m/reaping/
The Host,53,9,2013,http://www.rottentomatoes.com/m/the_host_2013/
Blood and Chocolate,55,11,2007,http://www.rottentomatoes.com/m/blood_and_chocolate/
Where the Heart Is,55,11,1990,http://www.rottentomatoes.com/m/1028561-where_the_heart_is/
There Be Dragons,55,11,2011,http://www.rottentomatoes.com/m/there_be_dragons/
Slow Burn,56,12,2007,http://www.rottentomatoes.com/m/slow_burn/
The King and I,57,13,1999,http://www.rottentomatoes.com/m/1087348-king_and_i/
Pokemon 4Ever,58,14,2002,http://www.rottentomatoes.com/m/pokemon_4ever/
Miss Congeniality 2 - Armed and Fabulous,59,15,2005,http://www.rottentomatoes.com/m/miss_congeniality_2/
Eating Out,60,16,2004,http://www.rottentomatoes.com/m/eating_out/
Here On Earth,61,17,2000,http://www.rottentomatoes.com/m/here_on_earth/
Parental Guidance,62,18,2012,http://www.rottentomatoes.com/m/parental_guidance_2012/
The Last Song,64,20,2010,http://www.rottentomatoes.com/m/10011984-last_song/
Bed of Roses,64,20,1996,http://www.rottentomatoes.com/m/bed_of_roses/
Blade: Trinity,70,26,2004,http://www.rottentomatoes.com/m/blade_trinity/
Panther,71,27,1995,http://www.rottentomatoes.com/m/panther/
The Chronicles of Riddick,73,29,2004,http://www.rottentomatoes.com/m/chronicles_of_riddick/
Imaginary Heroes,79,35,2004,http://www.rottentomatoes.com/m/imaginary_heroes/
jOBS,87,43,2013,http://www.rottentomatoes.com/m/jobs_2013/
Tommy Boy,89,45,1995,http://www.rottentomatoes.com/m/tommy_boy/
