Instituição,Programa,Nível,Sigla,Tem doutorado,Docentes colaboradores,Docentes permanentes,Docentes visitantes,Resumos em conf,Resumos expandidos em conf,Artigos em conf,Dissertacoes,Teses,periodicos_A1,periodicos_A2,periodicos_B1,periodicos_B2,periodicos_B3,periodicos_B4,periodicos_B5,periodicos_C ,periodicos_NA,per_comaluno_A1,per_comaluno_A2,per_comaluno_B1,per_comaluno_B2,per_comaluno_B3,per_comaluno_B4,per_comaluno_B5,per_comaluno_C ,per_comaluno_NA
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,SISTEMAS E COMPUTAÇÃO (23001011022P9),5,UFRN,Sim,2.25,26.25,0.0,27,16,389,108,29,44,23,32,1,9,0,11,16,19,10,3,17,1,4,0,4,8,10
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,ENGENHARIA DE SOFTWARE (23001011071P0),3,UFRN/Prof,Não,2.0,8.5,0.0,4,5,60,12,NA,0,2,4,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,CIÊNCIA DA COMPUTAÇÃO - UERN - UFERSA (23002018002P4),3,UERN/UFERSA,Não,4.25,13.5,0.5,30,25,127,94,NA,6,6,2,0,2,4,4,14,27,0,0,1,0,0,2,2,11,17
UNIVERSIDADE FEDERAL DA PARAÍBA/JOÃO PESSOA,INFORMÁTICA (24001015047P4),3,UFPB/J.P,Não,5.0,20.0,0.0,20,29,322,108,NA,21,20,11,4,6,5,16,28,26,2,1,5,0,1,0,5,3,6
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,CIÊNCIA DA COMPUTAÇÃO (24009016005P0),4,UFCG,Sim,9.25,31.0,0.0,5,28,338,104,40,20,15,29,1,16,1,9,8,18,8,11,18,1,10,0,3,8,7
UNIVERSIDADE FEDERAL DE PERNAMBUCO,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),6,UFPE,Sim,22.25,58.5,0.0,14,81,763,433,144,93,43,51,10,20,3,29,19,29,63,22,37,4,12,2,17,13,17
UNIVERSIDADE FEDERAL DE PERNAMBUCO,CIÊNCIAS DA COMPUTAÇÃO (25001019062P6),3,UFPE/Prof,Não,8.5,32.0,0.0,49,65,585,92,NA,70,23,29,6,13,3,18,24,19,1,0,0,0,0,0,1,4,0
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,INFORMÁTICA APLICADA (25003011032P2),3,UFRPE,Não,3.5,14.0,0.5,63,38,132,26,NA,16,5,11,1,9,5,16,23,21,1,0,1,0,0,2,4,5,3
FUNDAÇÃO UNIVERSIDADE DE PERNAMBUCO,ENGENHARIA DA COMPUTAÇÃO (25004018011P1),3,FESP/UPE,Não,6.5,10.75,0.75,33,14,255,71,NA,16,5,8,2,2,3,18,9,25,3,0,1,0,0,0,5,2,5
CENTRO DE ESTUDOS E SISTEMAS AVANÇADOS DO RECIFE,ENGENHARIA DE SOFTWARE (25019015001P0),3,CESAR/Prof,Não,13.75,12.5,4.0,3,6,79,93,NA,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
