repository_language,type,active_repos_by_url,events,year,quarter
Puppet,CreateEvent,2,2,2014,2
E,PushEvent,1,1,2014,2
Ceylon,WatchEvent,12,21,2014,2
JavaScript,WatchEvent,37765,954894,2012,2
Ruby,IssuesEvent,6397,34839,2012,4
C,ForkEvent,6297,49843,2012,2
Ruby,IssuesEvent,5454,81854,2012,2
Visual Basic,PushEvent,711,5087,2012,4
C,PushEvent,7855,192027,2012,1
C,WatchEvent,10135,46494,2012,4
Objective-C,ForkEvent,1415,9984,2012,1
C#,WatchEvent,7898,29438,2013,4
Perl,PushEvent,13214,103722,2013,4
Clojure,PushEvent,4248,35846,2013,2
Julia,ForkEvent,78,314,2013,1
PHP,ForkEvent,20812,65700,2013,4
ASP,IssuesEvent,24,893,2012,3
Puppet,ForkEvent,1250,3087,2013,4
C,ForkEvent,13022,37947,2013,2
Perl,IssuesEvent,841,7183,2012,3
C#,WatchEvent,1379,11844,2012,1
VimL,WatchEvent,3057,25576,2013,3
Go,IssuesEvent,633,3612,2013,2
ASP,PushEvent,443,4629,2012,4
Standard ML,PushEvent,69,1089,2012,4
Shell,ForkEvent,784,4797,2012,1
Dart,PushEvent,178,5301,2012,2
Erlang,ForkEvent,1321,2668,2012,4
JavaScript,CreateEvent,570,630,2013,3
OpenEdge ABL,PushEvent,130,1148,2013,2
HaXe,ForkEvent,101,423,2012,3
Erlang,WatchEvent,1428,5637,2013,4
Java,CreateEvent,42,126,2012,1
ActionScript,WatchEvent,991,4376,2012,4
Parrot,PushEvent,9,1110,2012,3
PHP,CreateEvent,156,156,2013,3
OCaml,WatchEvent,359,925,2013,1
Common Lisp,IssuesEvent,112,344,2012,4
Arduino,ForkEvent,385,712,2013,3
Verilog,WatchEvent,131,329,2013,2
Apex,PushEvent,100,1607,2012,2
Lasso,WatchEvent,10,24,2013,1
Pure Data,PushEvent,76,352,2012,4
VimL,IssuesEvent,382,3042,2012,3
Python,CreateEvent,207,217,2013,3
Racket,WatchEvent,186,489,2013,2
Apex,PushEvent,158,928,2012,4
Coq,PushEvent,22,420,2012,1
FORTRAN,ForkEvent,14,102,2012,1
Dart,IssuesEvent,125,883,2013,2
Opa,WatchEvent,23,101,2012,2
Parrot,ForkEvent,12,14,2014,1
VHDL,WatchEvent,72,167,2013,3
Ceylon,PushEvent,51,532,2013,4
VimL,CreateEvent,33,76,2012,3
Parrot,PushEvent,11,432,2013,4
Dart,ForkEvent,161,362,2013,1
Powershell,WatchEvent,16,156,2012,1
Elixir,PushEvent,94,1275,2012,4
Scilab,ForkEvent,13,22,2013,3
F#,IssuesEvent,46,225,2013,2
C++,CreateEvent,34,34,2013,1
Self,WatchEvent,7,12,2012,4
Gosu,WatchEvent,31,80,2013,4
Turing,PushEvent,11,80,2013,1
Mirah,WatchEvent,10,16,2013,1
Bro,IssuesEvent,1,1,2013,2
Eiffel,WatchEvent,14,66,2012,2
Turing,WatchEvent,2,6,2012,1
Racket,IssuesEvent,11,108,2012,3
Boo,PushEvent,9,204,2012,1
Prolog,ForkEvent,90,197,2013,3
Bro,WatchEvent,14,47,2013,1
Pure Data,ForkEvent,18,45,2013,1
Gosu,IssuesEvent,1,3,2012,2
AutoHotkey,ForkEvent,4,99,2012,1
J,WatchEvent,2,3,2014,2
XQuery,IssuesEvent,8,33,2012,4
AppleScript,CreateEvent,2,2,2014,2
Parrot,ForkEvent,5,22,2012,3
Rebol,ForkEvent,7,11,2013,3
Dylan,IssuesEvent,3,54,2013,3
Augeas,WatchEvent,6,28,2013,1
C#,CreateEvent,17,17,2013,2
Ceylon,WatchEvent,1,2,2012,4
Fancy,PushEvent,2,4,2014,2
ooc,IssuesEvent,3,5,2013,3
XQuery,WatchEvent,25,48,2013,2
Boo,ForkEvent,5,14,2012,2
Arc,ForkEvent,3,15,2012,2
Augeas,ForkEvent,3,16,2013,4
Opa,IssuesEvent,1,12,2012,1
Nimrod,WatchEvent,8,24,2012,3
MoonScript,WatchEvent,7,13,2013,2
PowerShell,ForkEvent,2,6,2012,1
ActionScript,CreateEvent,1,1,2014,2
Parrot,IssuesEvent,3,14,2013,2
Mirah,IssuesEvent,1,4,2013,4
Parrot,ForkEvent,3,9,2013,1
Bro,IssuesEvent,1,1,2013,3
Self,ForkEvent,3,5,2013,1
